ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo.1,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
LON,29.63,30.06,30.03,30.07,30.11,29.76,29.65,29.63,29.7,29.38,29.6,29.55,29.53,29.69,29.53,29.45,29.7,29.71,29.68,29.8,29.68,29.68,29.78,29.66,29.85,29.36,29.51,29.61,29.63,29.6,29.5,29.58,29.52,30.0,30.05,30.05,29.95,29.95,29.68,29.67,29.78,29.87,29.78,29.81,29.86,29.75,29.55,29.61,29.56,29.51,29.5,29.83,29.76,29.75,29.71,29.93,30.16,30.05,30.43,30.35,30.29,30.5,30.5,30.43
LAT,-1.95,-1.96,-2.01,-1.89,-1.95,-2.35,-2.35,-2.46,-2.52,-2.38,-2.43,-2.48,-2.48,-2.16,-2.33,-2.36,-2.21,-2.16,-2.16,-2.05,-1.83,-1.76,-2.08,-1.95,-1.9,-2.24,-1.58,-1.61,-1.95,-1.75,-1.76,-2.05,-1.91,-1.76,-1.81,-1.8,-1.62,-1.61,-1.56,-1.68,-1.73,-1.72,-1.6,-1.81,-1.73,-1.53,-1.56,-1.48,-1.45,-1.46,-1.5,-1.41,-1.55,-1.46,-1.43,-1.6,-1.8,-1.6,-1.93,-1.91,-1.8,-1.85,-1.9,-1.81
19810101,6.0,43.0,7.9,39.0,36.0,1.0,7.0,0.0,4.0,0.0,7.0,0.0,12.2,11.0,12.2,8.0,8.8,11.1,10.0,9.0,18.7,17.0,8.3,10.0,52.0,0.0,0.0,0.0,6.0,11.0,3.0,24.0,0.0,24.0,26.0,26.0,0.0,0.0,8.0,9.0,19.0,27.0,1.0,63.0,33.0,8.0,0.0,9.4,3.0,0.0,0.0,3.0,4.0,6.0,5.0,0.0,15.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0
19810102,0.0,51.0,4.4,41.0,57.3,10.0,13.0,3.0,0.0,4.0,8.0,0.0,14.6,9.0,13.7,13.0,3.4,9.6,9.0,11.0,8.2,4.0,10.0,0.0,18.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,13.0,8.0,15.0,17.0,2.0,6.0,5.0,5.3,3.0,2.0,2.0,7.0,13.0,6.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
19810103,0.0,0.0,0.2,0.0,0.0,7.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,13.0,0.0,1.0,16.3,13.8,11.0,0.0,22.4,23.0,0.6,0.0,0.0,10.0,2.0,33.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,10.0,21.0,2.0,0.0,1.0,0.0,0.0,3.0,13.0,1.4,0.6,9.0,12.0,0.0,0.0,0.0,0.0,0.6,0.0,5.0,6.0,0.0,0.0,7.0,11.0,2.0
19810104,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,9.0,11.0,10.0,0.0,0.0,0.0,18.0,9.0,10.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,10.0,5.9,5.2,2.0,2.0,5.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810105,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8,11.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19810106,4.0,7.0,5.8,8.0,5.6,0.0,4.0,6.0,0.0,0.0,7.5,0.0,1.9,3.0,0.9,0.0,0.0,3.4,0.0,0.0,5.0,5.0,0.0,2.0,9.0,1.0,0.0,1.0,4.0,3.0,0.0,17.0,1.0,21.0,15.0,15.0,5.0,5.0,5.0,6.0,0.0,21.0,3.0,11.0,10.0,0.0,0.0,5.4,5.0,2.0,1.0,7.0,0.0,0.0,4.0,8.7,4.0,7.0,14.0,10.0,0.0,6.0,15.0,2.0
19810107,0.0,0.0,0.1,0.0,0.0,2.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,4.6,2.0,3.9,0.0,2.0,2.0,7.5,26.0,0.0,0.0,0.0,3.0,2.0,15.0,0.0,23.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.1,7.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810108,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,1.1,0.0,0.0,0.0,1.3,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.8,2.1,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
19810109,0.0,0.0,0.2,0.0,2.4,1.0,0.0,12.0,0.0,11.0,10.6,14.8,4.2,7.0,0.0,1.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,6.0,8.0,0.0,0.0,15.0,13.0,12.0
19810110,0.0,0.0,0.1,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19810113,6.0,0.0,0.0,0.0,0.4,0.0,9.0,5.0,19.0,0.0,1.1,2.0,0.4,2.0,4.0,0.0,0.0,2.1,0.0,1.0,0.0,0.0,1.4,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,11.4,35.2,25.0,16.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810114,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.5,0.8,0.0,0.0,0.0,6.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810115,0.0,0.0,0.1,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810116,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,7.0,0.0,0.0,14.0,9.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.5,0.0,0.0,3.0,0.0,0.0,4.0,6.0,1.0
19810117,0.0,0.0,1.2,0.0,0.2,1.0,0.0,0.0,0.0,3.0,12.5,0.0,4.3,3.0,14.9,9.0,0.0,3.5,0.0,19.0,7.0,29.0,26.2,0.0,0.0,6.0,5.0,9.0,0.0,29.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,22.0,47.0,4.0,0.0,33.0,0.0,0.0,16.0,6.0,11.4,10.5,5.0,2.0,11.0,19.0,0.0,0.0,10.0,0.0,0.0,20.0,4.0,0.0,18.0,26.0,7.0
19810118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,29.0,0.0,1.1,0.7,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,6.8,7.3,4.9,1.0,9.0,4.0,0.0,1.3,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19810120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810121,36.0,5.0,7.3,13.0,1.0,19.0,0.0,5.0,0.0,7.0,9.4,8.3,13.0,4.0,21.0,20.0,17.6,4.9,21.0,0.0,0.0,0.0,0.0,32.0,8.0,7.0,0.0,0.0,36.0,0.0,2.0,9.0,27.0,14.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,6.5,18.8,14.0,6.0,3.0,0.0,3.0,6.0,1.2,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
19810122,4.0,0.0,0.3,1.0,0.0,29.0,23.0,0.0,0.0,2.0,0.0,28.8,18.2,1.0,0.0,0.0,0.0,1.1,0.0,0.0,3.7,9.0,0.0,0.0,0.0,5.0,6.0,14.0,4.0,8.0,7.0,12.0,8.0,11.0,9.0,9.0,0.0,0.0,21.0,32.0,0.0,6.0,7.0,0.0,5.0,18.0,6.0,7.2,23.7,27.0,20.0,23.0,5.0,29.0,22.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810123,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0.0,0.0,7.0,0.0,0.0,18.0,10.0,0.0,0.0,3.0,10.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,23.4,23.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810124,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,16.5,15.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19810125,0.0,11.0,2.9,3.0,8.3,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,2.5,8.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
19810126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,6.0,0.0,3.0,0.0,0.0,2.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19810127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,10.0,4.8,12.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810128,2.0,7.0,11.4,1.0,3.1,0.0,0.0,5.0,0.0,1.0,0.0,14.8,1.9,3.0,0.0,0.0,0.0,3.7,0.0,0.0,8.5,3.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,36.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810130,4.0,0.0,4.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,2.0,0.0,0.0,1.0,1.0,1.0
19810131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.4,1.2,0.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0
19810204,0.0,8.0,1.9,2.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19810205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810207,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,16.0,2.4,9.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810208,29.0,0.0,3.3,0.0,0.0,26.0,18.0,7.0,0.0,0.0,6.2,13.5,1.2,12.0,2.0,0.0,0.0,12.6,8.0,14.0,0.0,0.0,15.4,21.0,5.0,0.0,13.0,15.0,29.0,5.0,25.0,26.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,7.0,11.0,1.0,27.0,0.0,1.7,13.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810209,0.0,14.0,0.0,11.0,18.0,0.0,2.0,8.0,0.0,0.0,12.2,7.2,3.7,0.0,1.5,0.0,0.0,0.0,0.0,0.0,24.5,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,7.0,5.0,0.0,4.0,14.0,0.0,0.0,7.0
19810210,0.0,0.0,0.0,0.0,0.2,0.0,0.0,9.0,0.0,14.0,3.4,42.2,26.5,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.2,3.4,0.0,0.0,5.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,5.0
19810211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,5.0,0.0,11.0,2.0,0.0,0.2,1.3,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19810215,0.0,0.0,3.9,0.0,3.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.4,4.0,1.8,0.0,0.0,6.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19810216,3.0,27.0,14.1,21.0,43.9,6.0,0.0,59.0,0.0,12.0,43.2,51.5,37.1,20.0,13.0,5.0,0.0,20.4,21.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,7.0,0.0,3.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,14.0,3.0,0.0,4.0,4.0,3.0,17.4,4.9,0.0,0.0,1.0,0.0,0.0,0.0,38.4,19.0,12.0,36.0,0.0,14.0,55.0,55.0,46.0
19810217,0.0,4.0,0.0,9.0,1.3,0.0,5.0,0.0,0.0,24.0,0.3,0.5,0.2,0.0,0.2,9.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,8.0,0.0,0.0,4.0,8.0,4.0,10.0,27.0,14.0,14.0,35.0,35.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,34.0,3.0,10.3,10.8,4.0,0.0,47.0,26.0,46.0,26.0,2.0,0.0,24.0,1.0,0.0,3.0,2.0,2.0,5.0
19810218,22.0,19.0,5.8,18.0,22.1,0.0,0.0,9.0,32.0,10.0,0.0,7.8,31.4,6.0,5.9,19.0,6.1,6.9,3.0,3.0,0.0,0.0,3.1,21.0,3.0,6.0,0.0,2.0,22.0,0.0,0.0,0.0,17.0,5.0,1.0,1.0,10.0,10.0,0.0,4.0,1.0,7.0,13.0,0.0,1.0,1.0,0.0,1.1,1.3,1.0,0.0,3.0,6.0,0.0,1.0,0.0,5.0,6.0,5.0,3.0,5.0,10.0,7.0,9.0
